,cz,Name,AllParentIncomeAmericanIndian,AllParentIncomeAllRaces,AllParentIncomeAsian,AllParentIncomeWhite,AllParentIncomeHispanic,Individual_Income_Excluding_Spouse_at_Age_35_rB_gP_pall
685,cz16802,"Summersville, WV",,26087,,26395,20457.0,25753.0
686,cz16902,"Spencer, WV",,24858,,25353,25008.0,
687,cz3203,"Vicksburg, LA & MS",,24473,36759.0,30193,23993.0,21002.0
688,cz8402,"Washington, GA",,24587,,29155,19935.0,20665.0
689,cz4003,"Ruston, LA",,27493,42119.0,31327,29698.0,21707.0
690,cz15800,"Athens, OH & WV",,25268,39981.0,25697,27737.0,21497.0
691,cz32503,"Haskell, TX",,29296,,32659,24837.0,21553.0
692,cz8501,"Fitzgerald, GA",,24336,,28146,23856.0,19245.0
693,cz32604,"Vernon, TX",,26897,,30304,23717.0,17337.0
694,cz26407,"Plentywood, MT",,34227,,36018,,
695,cz34703,"Kahului, HI",,31449,36354.0,30572,28587.0,31151.0
696,cz32303,"Junction, TX",,23054,,24971,22050.0,
697,cz28609,"Lexington, NE",,32268,35144.0,34200,26936.0,
698,cz34804,"Clayton, NM",,28406,,31683,25573.0,
699,cz31502,"Pearsall, TX",,27083,,32322,27568.0,
700,cz35905,"Loa, UT",,26921,,27627,,
701,cz3001,"Kosciusko, MS",,24104,,30411,23943.0,21297.0
702,cz1001,"Boone, NC & TN",,24886,,25419,27218.0,18914.0
703,cz31503,"Laredo, TX",,26328,39308.0,31001,28595.0,21707.0
704,cz18700,"Sunbury, PA",,31656,37611.0,32052,26008.0,27584.0
705,cz12502,"Washington Court House, OH",,25932,30395.0,26669,22657.0,18526.0
706,cz8702,"Statesboro, GA",,24390,35153.0,27953,23150.0,19738.0
707,cz27604,"Murdo, SD",,24243,,24833,,
708,cz32403,"Snyder, TX",,30632,,33101,29413.0,25990.0
709,cz26106,"Centerville, IA",,30936,,31319,28158.0,
710,cz17000,"Pikeville, KY & WV",,22704,40695.0,23356,16138.0,18374.0
711,cz27703,"Torrington, WY",,33205,,34438,30203.0,
712,cz24702,"Mexico, MO",,28415,,29301,32238.0,22449.0
713,cz34803,"Tucumcari, NM",,23899,,28311,21969.0,
714,cz28501,"Springfield, CO",,29240,,29488,30478.0,
715,cz27001,"O'Neill, NE",,33481,,33778,32991.0,
716,cz4701,"Greenwood, MS",,22944,38858.0,29396,19225.0,19168.0
717,cz34305,"Miles City, MT",,33440,,33820,34487.0,
718,cz28306,"North Platte, NE",,32328,24401.0,33252,27490.0,31834.0
719,cz36502,"Burns, OR",,27868,,29274,25317.0,
720,cz18202,"St. Marys, PA",,33005,41083.0,33400,29237.0,
721,cz26305,"Rugby, ND",,36433,,36742,,
722,cz37603,"Portola, CA",,29735,,30338,29132.0,
723,cz28701,"Salida, CO",,31984,,32661,29351.0,
724,cz27002,"Ord, NE",,33916,,34340,,
725,cz28303,"Oshkosh, NE",,31912,,33024,,
726,cz30702,"Santa Rosa, NM",,26347,,30477,25936.0,
727,cz8201,"Barnwell, SC",,23166,,28830,16997.0,20525.0
728,cz16701,"Elkins, WV",,26643,,27052,18359.0,27498.0
729,cz14802,"Vincennes, IL & IN",,29699,45519.0,30055,25206.0,24355.0
730,cz9001,"Vidalia, GA",,24204,33904.0,26832,21395.0,19776.0
731,cz20402,"Nantucket, MA",,36753,,37949,,14283.0
732,cz34301,"Cody, WY",,31756,41814.0,32681,27916.0,
733,cz30605,"Van Horn, TX",,28903,,24393,31761.0,
734,cz27401,"Storm Lake, IA",,35260,27478.0,36377,28614.0,29207.0
735,cz601,"North Wilkesboro, NC",,24660,32920.0,25402,22201.0,20967.0
736,cz27010,"Miller, SD",,38659,,39227,,
737,cz5201,"New Albany, MS",,24962,,26398,20585.0,22349.0
738,cz34204,"Lewistown, MT",,31877,,32750,27295.0,
739,cz28201,"Red Oak, IA",,32909,38396.0,33431,28954.0,27519.0
740,cz4301,"Stuttgart, AR",,25635,,28785,29338.0,21545.0
