,cz,Name,AllParentIncomeAmericanIndian,AllParentIncomeAllRaces,AllParentIncomeAsian,AllParentIncomeWhite,AllParentIncomeHispanic,Individual_Income_Excluding_Spouse_at_Age_35_rB_gP_pall
206,cz25103,"Harrison, AR",23073.0,25109,36833.0,25695,20290.0,28201.0
207,cz17400,"Hagerstown, MD & PA & WV",23070.0,29768,37406.0,30529,26930.0,22435.0
208,cz37700,"Santa Rosa, CA",23038.0,31467,37477.0,33334,29252.0,24690.0
209,cz10900,"Pensacola, FL",23005.0,25972,30678.0,27532,27133.0,20982.0
210,cz32501,"Abilene, TX",22968.0,28035,33886.0,30335,25211.0,23025.0
211,cz16300,"Pittsburgh, PA",22957.0,33418,41921.0,34806,29772.0,21986.0
212,cz23500,"Decatur, IL",22954.0,31044,40071.0,33079,26646.0,20435.0
213,cz18600,"Albany, NY",22926.0,34883,40885.0,36040,28944.0,24570.0
214,cz38700,"Longview, OR & WA",22911.0,28366,34574.0,29277,24371.0,25638.0
215,cz33300,"Tyler, TX",22894.0,27122,33084.0,29827,25694.0,22744.0
216,cz25401,"Paducah, IL & KY",22891.0,27912,28116.0,28990,18990.0,22048.0
217,cz18000,"Buffalo, NY",22880.0,33029,40198.0,34852,26171.0,22251.0
218,cz37400,"Sacramento, CA & NV",22860.0,30183,36290.0,32319,28011.0,22810.0
219,cz38901,"Eugene, OR",22853.0,28596,33116.0,29844,25472.0,25628.0
220,cz19901,"Dover, DE & MD",22799.0,28812,35996.0,31274,27990.0,23142.0
221,cz11700,"Lansing, MI",22702.0,31270,37305.0,32754,26720.0,24083.0
222,cz26902,"Little Falls, MN",22702.0,33193,29783.0,33637,25495.0,21243.0
223,cz11101,"Montgomery, AL",22687.0,25451,34426.0,29980,26983.0,21283.0
224,cz26501,"Brookings, SD",22669.0,35184,38542.0,35874,26242.0,29688.0
225,cz16100,"State College, PA",22603.0,31137,41043.0,31513,26407.0,27657.0
226,cz38601,"Spokane, ID & WA",22525.0,29172,31507.0,30061,25257.0,22243.0
227,cz5000,"Tupelo, MS",22522.0,25224,29491.0,27320,23180.0,21401.0
228,cz13400,"Lima, OH",22511.0,32561,36889.0,33758,28266.0,21261.0
229,cz35401,"Flagstaff, AZ & UT",22501.0,27793,34355.0,29406,26480.0,22956.0
230,cz21900,"Marshalltown, IA",22491.0,33320,36285.0,34377,27100.0,22843.0
231,cz13600,"South Bend, IN & MI",22444.0,29206,37464.0,30994,26088.0,20956.0
232,cz24100,"Milwaukee, WI",22412.0,32815,34800.0,36126,27962.0,21248.0
233,cz29303,"Winfield, KS",22388.0,29185,32266.0,30198,26214.0,24400.0
234,cz36200,"Logan, ID & UT",22378.0,28979,32390.0,29452,25849.0,31025.0
235,cz38902,"Newport, OR",22308.0,27089,28541.0,27973,24244.0,26941.0
236,cz4102,"Pine Bluff, AR",22276.0,24706,32629.0,28294,23612.0,22354.0
237,cz24000,"Kenosha, WI",22258.0,31291,34307.0,33011,26718.0,20443.0
238,cz34111,"Ketchikan, AK",22249.0,30385,40158.0,32441,35861.0,
239,cz20700,"Keene, NH & VT",22227.0,30933,32811.0,31645,25379.0,24158.0
240,cz26303,"Turtle Mountain UT, ND",22200.0,29544,,36719,23773.0,
241,cz37200,"Fresno, CA",22186.0,25868,32435.0,30555,24715.0,20200.0
242,cz27801,"Columbus-Norfolk, NE",22145.0,34009,33650.0,35227,26276.0,18194.0
243,cz34103,"Valdez, AK",22117.0,31640,,34388,21895.0,
244,cz9400,"Gainesville, GA",22113.0,25729,29598.0,27463,23944.0,21965.0
245,cz8900,"Macon, GA",22108.0,25703,34922.0,29482,26795.0,21283.0
246,cz12302,"Petoskey, MI",22078.0,28413,30469.0,29013,26463.0,18611.0
247,cz34805,"Alamosa, CO",22067.0,27535,32091.0,31135,24779.0,
248,cz34002,"Idabel, AR & OK",22030.0,23977,40040.0,25336,24584.0,21545.0
249,cz14900,"Gary, IN",22011.0,30743,41829.0,33391,30236.0,23103.0
250,cz39400,"Seattle, WA",21991.0,31891,37496.0,32993,28926.0,24659.0
251,cz7300,"Palm Bay, FL",21988.0,26752,34979.0,27981,27081.0,20361.0
252,cz8000,"Sumter, SC",21974.0,25323,37506.0,28849,26955.0,22473.0
253,cz30908,"Plainview, TX",21947.0,27221,,32051,25902.0,21550.0
254,cz18201,"Olean, NY & PA",21944.0,29881,35111.0,30442,21318.0,26979.0
255,cz38602,"Colville, WA",21926.0,28489,30889.0,29712,23997.0,27286.0
256,cz15900,"Columbus, OH",21905.0,29718,38696.0,31544,27638.0,22356.0
257,cz15700,"Scioto, OH",21889.0,24619,35985.0,25212,20976.0,22425.0
258,cz33802,"Chickasha, OK",21885.0,28315,38235.0,30445,23365.0,21861.0
259,cz15100,"Lorain, OH",21856.0,29772,38622.0,31457,25780.0,19654.0
260,cz1203,"Asheville, NC",21854.0,26647,37366.0,27797,24701.0,20531.0
261,cz36100,"Salt Lake City, UT",21848.0,30110,33932.0,30939,26835.0,25347.0
262,cz33601,"Lawton, OK",21847.0,27446,34383.0,29489,27289.0,23865.0
263,cz29203,"Manhattan, KS",21841.0,30513,33199.0,32165,27669.0,23245.0
264,cz30403,"Okmulgee, OK",21818.0,25193,,27217,22922.0,22570.0
265,cz14200,"Indianapolis, IN",21769.0,29430,37703.0,31405,27385.0,22445.0
266,cz20200,"Burlington, VT",21704.0,33100,35271.0,33832,30761.0,28402.0
267,cz12301,"Traverse City, MI",21699.0,29310,31524.0,29870,25198.0,25176.0
268,cz26605,"Aberdeen, SD",21643.0,35485,42218.0,36278,25261.0,
269,cz20100,"Portland, ME",21609.0,30454,31699.0,31079,27122.0,24318.0
270,cz2600,"Roanoke Rapids, NC & VA",21590.0,24574,30193.0,30369,23426.0,21509.0
271,cz30300,"Fayetteville, AR & MO & OK",21561.0,27221,32491.0,28687,25110.0,22755.0
272,cz28900,"Denver, CO",21540.0,32555,36604.0,35114,28333.0,25907.0
273,cz22800,"Eau Claire, MN & WI",21526.0,33411,30625.0,33970,27316.0,30768.0
274,cz37604,"Reno, NV",21514.0,29072,34835.0,31043,26759.0,24190.0
