"cz","Name","Individual_Income_Excluding_Spouse_at_Age_35"
"cz3400","Houma, LA",29759
"cz15500","Steubenville, OH & WV",29756
"cz33100","Dallas, TX",29735
"cz37603","Portola, CA",29735
"cz12200","Grand Rapids, MI",29734
"cz15900","Columbus, OH",29718
"cz16400","Youngstown, OH & PA",29702
"cz39301","Friday Harbor, WA",29702
"cz14802","Vincennes, IL & IN",29699
"cz18300","Watertown, NY",29696
"cz38401","Lewiston, ID & WA",29692
"cz33000","Fort Worth, TX",29684
"cz36503","Lakeview, OR",29679
"cz39100","Kennewick, OR & WA",29663
"cz31004","Liberal, KS & OK",29650
"cz35600","Hilo, HI",29598
"cz30502","Enid, OK",29548
"cz26303","Turtle Mountain UT, ND",29544
"cz33801","Elk City, OK",29507
"cz13800","Wayne, IN",29499
"cz34802","Santa Fe, NM",29482
"cz14200","Indianapolis, IN",29430
"cz29301","Wichita, KS",29421
"cz28401","Colorado Springs, CO",29420
"cz11900","Saginaw, MI",29392
"cz31700","Corpus Christi, TX",29370
"cz17600","Charlottesville, VA",29351
"cz3800","Lafayette, LA",29334
"cz12301","Traverse City, MI",29310
"cz12100","Kalamazoo, MI",29303
"cz35001","Phoenix, AZ",29299
"cz32503","Haskell, TX",29296
"cz2500","Newport News, VA",29284
"cz32602","Graham, TX",29275
"cz28501","Springfield, CO",29240
"cz4004","Many, LA",29230
"cz13600","South Bend, IN & MI",29206
"cz38501","Moses Lake, WA",29204
"cz35201","Grand Junction, CO",29198
"cz29303","Winfield, KS",29185
"cz38601","Spokane, ID & WA",29172
"cz30401","Stillwater, OK",29135
"cz13101","Louisville, IN & KY",29103
"cz29401","Ottawa, KS",29098
"cz14801","Olney, IL",29088
"cz30801","Hobbs, NM & TX",29080
"cz13103","Bardstown, KY",29079
"cz37604","Reno, NV",29072
"cz20003","Presque Isle, ME",29005
"cz31304","Mason, TX",29000
"cz13700","Concord, IN & MI",28992
"cz39201","La Grande, OR",28985
"cz36200","Logan, ID & UT",28979
"cz29403","Bartlesville, KS & OK",28977
"cz29503","St. Joseph, KS & MO",28959
"cz35904","Richfield, UT",28950
"cz35903","Moab, UT",28944
"cz36302","Salmon, ID",28920
"cz12501","Dayton, OH",28917
"cz26103","Brookfield, MO",28911
"cz17200","Harrisonburg, VA & WV",28910
"cz11500","Jackson, MI",28909
"cz30605","Van Horn, TX",28903
"cz32100","Beaumont, TX",28896
"cz23301","Charleston, IL",28838
"cz2300","Lynchburg, VA",28829
"cz31800","College Station, TX",28824
"cz19901","Dover, DE & MD",28812
"cz13102","Madison, IN & KY",28805
"cz32601","Wichita Falls, TX",28778
"cz9100","Atlanta, GA",28744
"cz7000","Miami, FL",28716
"cz31303","Kerrville, TX",28687
"cz11800","Mount Pleasant, MI",28648
"cz39303","Port Angeles, WA",28642
"cz30701","Roswell, NM",28630
"cz39203","Bend, OR",28606
"cz38901","Eugene, OR",28596
"cz35902","Price, UT",28593
"cz34502","Libby, MT",28581
"cz26104","Trenton, MO",28579
"cz17501","Cumberland, MD & WV",28567
"cz20001","Bangor, ME",28554
"cz36501","Klamath Falls, CA & OR",28527
"cz30402","Tulsa, OK",28518
"cz33803","Oklahoma City, OK",28497
"cz36000","Provo, UT",28496
"cz32702","Stephenville, TX",28493
"cz3300","New Orleans, LA",28489
"cz38602","Colville, WA",28489
"cz34503","Kalispell, MT",28484
"cz30903","Amarillo, TX",28477
"cz13200","Owensboro, KY",28471
"cz39000","Yakima, WA",28466
"cz26105","Polk, MO",28464
"cz38802","The Dalles, OR & WA",28436
"cz16000","Mansfield, OH",28427
"cz3700","Lake Charles, LA",28420
"cz12401","Alpena, MI",28415
"cz24702","Mexico, MO",28415
"cz12302","Petoskey, MI",28413
"cz34804","Clayton, NM",28406
"cz11303","Colonial Beach, VA",28386
"cz38700","Longview, OR & WA",28366
"cz17300","Staunton, VA",28337
"cz16600","Roanoke, VA & WV",28333
"cz31301","San Antonio, TX",28325
"cz33802","Chickasha, OK",28315
"cz25601","Carbondale, IL",28291
"cz13900","Center, IN",28270
"cz14400","Terre Haute, IN",28262
"cz36301","Pocatello, ID",28257
"cz2000","Virginia Beach, NC & VA",28201
"cz26102","Marshall, MO",28200
"cz34201","Havre, MT",28183
"cz35702","Burley, ID",28162
"cz34501","Bonners Ferry, ID",28160
"cz37100","Bakersfield, CA",28159
"cz7200","Cape Coral, FL",28152
"cz32402","Sweetwater, TX",28136
"cz5600","Nashville, TN",28131
"cz35801","Boise City, ID",28129
"cz34307","Colstrip, MT",28123
"cz35300","Farmington, CO & NM",28109
"cz14300","Columbus, IN",28081
"cz35803","McCall, ID",28080
"cz12002","Ludington, MI",28063
"cz26107","Kirksville, MO",28063
"cz32501","Abilene, TX",28035
"cz34114","Unalaska, AK",28034
"cz900","Charlotte, NC & SC",28020
"cz35701","Twin Falls, ID",28012
"cz7100","Port St. Lucie, FL",27998
"cz30802","Lubbock, TX",27971
"cz15300","Parkersburg, OH & WV",27971
"cz32305","Del Rio, TX",27921
"cz34107","Dillingham, AK",27915
"cz25401","Paducah, IL & KY",27912
"cz36502","Burns, OR",27868
"cz31501","Crystal City, TX",27863
"cz31600","Brownsville, TX",27818
"cz33400","Longview, TX",27797
"cz35401","Flagstaff, AZ & UT",27793
"cz32301","San Angelo, TX",27778
"cz30902","Littlefield, TX",27722
"cz16703","Buckhannon, WV",27697
"cz16901","Charleston, WV",27661
"cz31103","Gonzales, TX",27647
"cz6900","Sarasota, FL",27645
"cz25602","Harrisburg, IL",27599
"cz28503","Trinidad, CO",27559
"cz34805","Alamosa, CO",27535
"cz26101","Moberly, MO",27533
"cz401","Winston-Salem, NC",27531
"cz14600","Bloomington, IN",27526
"cz15400","Zanesville, OH",27509
"cz4003","Ruston, LA",27493
"cz30906","Memphis, TX",27485
"cz13000","Elizabethtown, KY",27456
"cz33601","Lawton, OK",27446
"cz32701","Brownwood, TX",27441
"cz35002","Safford, AZ",27432
"cz32802","Corsicana, TX",27427
"cz32302","Brady, TX",27419
"cz11403","Sault Ste. Marie, MI",27400
"cz36600","Redding, CA",27389
"cz37300","Chico, CA",27368
"cz12001","Big Rapids, MI",27361
"cz7400","Orlando, FL",27352
"cz25701","Cape Girardeau, MO",27347
"cz12402","Grayling charter, MI",27342
"cz37000","Modesto, CA",27334
"cz34901","Albuquerque, NM",27314
"cz8100","Columbia, SC",27259
"cz35100","Tucson, AZ",27247
"cz32304","Uvalde, TX",27240
"cz35402","Cortez, CO & UT",27236
"cz25200","Henderson, KY",27232
"cz36700","Eureka, CA",27226
"cz30300","Fayetteville, AR & MO & OK",27221
"cz30908","Plainview, TX",27221
"cz32502","Childress, TX",27195
"cz10700","Birmingham, AL",27184
"cz12901","Lexington-Fayette, KY",27164
"cz6000","Huntsville, AL & TN",27162
"cz28502","Pueblo, CO",27159
"cz33902","Sherman, OK & TX",27141
"cz33300","Tyler, TX",27122
"cz33700","Ardmore, OK",27116
"cz32201","Huntsville, TX",27107
"cz6700","Tampa, FL",27098
"cz31404","Alpine, TX",27094
"cz38902","Newport, OR",27089
"cz31502","Pearsall, TX",27083
"cz27704","Gordon, NE & SD",27082
"cz4001","Magnolia, AR",27039
"cz32306","Eagle Pass, TX",27026
"cz8202","Charleston, SC",27012
"cz3201","Jena, LA",27010
"cz32900","Killeen, TX",27007
"cz37901","Las Vegas, AZ & NV",26978
"cz35905","Loa, UT",26921
"cz9301","Winder, GA",26902
"cz32604","Vernon, TX",26897
"cz29504","Sedalia, MO",26872
"cz35901","St. George, UT",26861
"cz36800","Medford, OR",26770
"cz31202","Burnet, TX",26762
"cz7300","Palm Bay, FL",26752
"cz24600","Farmington, MO",26743
"cz33602","Altus, OK",26732
"cz32801","Waco, TX",26731
"cz29901","Joplin, KS & MO & OK",26727
"cz25402","Murray, KY",26715
